model,ad_title,year,km,color,price,ad_date,location
"
                        1.4 TDi Comfortline","















    'LENA' 2017 VW POLO 1.4 TDI DSG COMFORTLINE+CAM TAVAN 61.000 KM



","
                    2017","
                    61.000","
                    Siyah","
 133.000 TL","
28 Aralık

2019
","
                        İstanbulKadıköy"
"
                        1.4 Comfortline","















    polo 1.4 comfortline
","
                    2012","
                    70.000","
                    Beyaz","
 74.000 TL","
28 Aralık

2019
","
                        AdanaYüreğir"
"
                        1.6","















    65000km bayan
","
                    1999","
                    65.000","
                    Beyaz","
 35.000 TL","
28 Aralık

2019
","
                        MuğlaFethiye"
"
                        1.4 Comfortline","















    Bayan kullanıcıdan temiz 63 bin kmde polo
","
                    2013","
                    63.300","
                    Beyaz","
 59.000 TL","
28 Aralık

2019
","
                        İstanbulTuzla"
"
                        1.4 Trendline","















    SAHİBİNDEN, HASARSIZ, TEMİZ, BAKIMLI GARAJ ARABASI
","
                    2009","
                    78.436","
                    Beyaz","
 61.000 TL","
28 Aralık

2019
","
                        DenizliAcıpayam"
"
                        1.4 TDi Comfortline","















    2015 DİZEL OTOMATİK VİTES 68 BİNDE POLO



","
                    2015","
                    68.000","
                    Beyaz","
 88.900 TL","
28 Aralık

2019
","
                        İstanbulGaziosmanpaşa"
"
                        1.4 TDi Comfortline","















    * HATASIZ -BOYASIZ -DEĞİŞENSİZ -TRAMERSİZ-HASARSIZ- DÜŞÜK KMLİ**
","
                    2016","
                    50.000","
                    Beyaz","
 122.000 TL","
29 Aralık

2019
","
                        İstanbulAtaşehir"
"
                        1.4 Comfortline","















    BAYANDAN OTOMATİK 70 bin KM de hatasız
","
                    2014","
                    70.500","
                    Beyaz","
 93.750 TL","
29 Aralık

2019
","
                        KayseriMelikgazi"
"
                        1.2 TSI Comfortline","















    Hatasız Tramersiz temiz sunrooflu orjinal polo
","
                    2015","
                    65.000","
                    Beyaz","
 110.000 TL","
29 Aralık

2019
","
                        İstanbulKüçükçekmece"
"
                        1.4 TDi Trendline","















    2015 MODEL DÜŞÜK KM Lİİİ MODİFİYELİ!!!!!
","
                    2015","
                    68.000","
                    Beyaz","
 85.000 TL","
29 Aralık

2019
","
                        BursaYıldırım"
"
                        1.2 TSI Lounge","















    vw polo 1.2 tsi lounge otomatik FULL DONANIM
","
                    2015","
                    70.000","
                    Siyah","
 102.500 TL","
29 Aralık

2019
","
                        İstanbulBaşakşehir"
"
                        1.4 Comfortline","















    Memurdan Çok Temiz Polo
","
                    2011","
                    81.000","
                    Gümüş Gri","
 66.250 TL","
29 Aralık

2019
","
                        SamsunAtakum"
"
                        1.4 TDi Comfortline","















    2016 POLO 1.4 TDI 90 COMFORTLINE TIPTRONIC SERVİS BAKIMLI TAŞKAN



","
                    2016","
                    77.647","
                    Beyaz","
 94.000 TL","
29 Aralık

2019
","
                        İstanbulBahçelievler"
"
                        1.2 TDi Trendline","















    SAHİBİNDEN ORJİNAL 1,2 DİZEL POLO (BOYA-DEĞİŞEN-TRAMER YOK)
","
                    2013","
                    76.500","
                    Beyaz","
 76.500 TL","
29 Aralık

2019
","
                        AydınEfeler"
"
                        1.2 TDi Trendline","















    TEMİZ-BAKIMLI 77.000 KM DE



","
                    2012","
                    77.000","
                    Beyaz","
 58.500 TL","
29 Aralık

2019
","
                        KayseriMelikgazi"
