model,ad_title,year,km,color,price,ad_date,location,city
                        1.0 TSI Highline ,    sahibinden 2017 polo,2017,26000.0,                    Beyaz,133000.0,2019-04-24,                        AğrıMerkez,Ağrı
                        1.0 TSI Highline ,    GARANTİLİ 2018 POLO HIGHLINE,2018,11000.0,                    Bej,135000.0,2019-09-02,                        İstanbulKağıthane,İstanbul
                        1.6,    VW POLO 1.6 KLİMALI DERİ DÖŞEME DÖNEMİNİN FULL U,1997,260000.0,                    Siyah,32500.0,2019-09-06,                        AnkaraAltındağ,Ankara
                        1.6 TDi Comfortline,    İLK SAHİBİNDEN TEMİZ POLO 1.6 TDI 90HP,2013,42500.0,                    Beyaz,88750.0,2019-09-17,                        AnkaraÇankaya,Ankara
                        1.4 TSI GTi,    2013 CTH 45000KM KIRMIZI POLO GTİ,2013,45000.0,                    Kırmızı,130000.0,2019-10-03,                        SamsunAtakum,Samsun
                        1.4 TDi Trendline,    İlk Sahibinden Kazasız Hasarsız VW POLO 43.000KM,2016,43000.0,                    Beyaz,90500.0,2019-11-09,                        İstanbulMaltepe,İstanbul
                        1.0 TSI Highline ,    Highline Seramik kaplı 10 bin km Dsg Polo,2018,10000.0,                    Kırmızı,145500.0,2019-11-11,                        OrduÜnye,Ordu
                        1.2 TSI Comfortline,    27000 km Temiz bakımlı Polo,2017,27000.0,                    Beyaz,78000.0,2019-11-20,                        AntalyaMuratpaşa,Antalya
                        1.4 Basicline,    Tertemiz bakımlı POLO İlk gelen alır,2004,201000.0,                    Mavi,44000.0,2019-11-24,                        ZonguldakKozlu,Zonguldak
                        1.0 TSI Comfortline,    SAHİBİNDEN BEYAZ HATASIZ OTOMATİK POLO,2018,26000.0,                    Beyaz,134000.0,2019-11-24,                        AmasyaMerkez,Amasya
                        1.2 TSI Comfortline,    SAHİBİNDEN SATILIK 2015 VOLKSWAGEN 1.2 TSİ COMFORTLİNE POLO,2015,46000.0,                    Kırmızı,75000.0,2019-11-25,                        GaziantepŞehitkamil,Gaziantep
                        1.2 TSI Comfortline,    İlk sahibinden 28.170 km servis bakımlı,2015,28170.0,                    Beyaz,97000.0,2019-11-28,                        İstanbulKüçükçekmece,İstanbul
                        1.4 TDi Trendline,    VOLKWAGEN POLO 1.4 TDI YENİ KASA MODELİ,2005,217000.0,                    Beyaz,34750.0,2019-12-01,                        AntalyaKonyaaltı,Antalya
                        1.9 TDi,    Sahibinden satılık,1999,225000.0,                    Kırmızı,22000.0,2019-12-05,                        BursaNilüfer,Bursa
                        1.2 TSI Lounge,"    Hata,boya,k­aza,tramer yok",2015,37500.0,                    Beyaz,93900.0,2019-12-07,                        TokatTurhal,Tokat
                        1.6,    Sahibinden polo,1999,300000.0,                    Kırmızı,23500.0,2019-12-19,                        MuşMerkez,Muş
                        1.2 TSI Comfortline,    2017 VW POLO 1.2 TSI COMFORTLİNE DSG OTOMATİK,2017,27000.0,                    Füme,85900.0,2019-12-19,                        İstanbulBağcılar,İstanbul
                        1.4 TDi Comfortline,    Temiz Mavi boncuk,2004,239000.0,                    Mavi,37000.0,2019-12-19,                        AntalyaManavgat,Antalya
                        1.6 TDi Comfortline,    Aykan Adana'dan Polo 1.6 TDI SCR Comfortline DSG,2018,29663.0,                    Beyaz,140000.0,2019-12-19,                        AdanaSeyhan,Adana
                        1.0 TSI Comfortline,    2018 COMFORTLINE 1.0 DSG HATASIZ-BOYASIZ-­TRAMERSİZ-12.800 KM!,2018,12800.0,                    Kırmızı,132000.0,2019-12-19,                        AnkaraÇankaya,Ankara
                        1.0 TSI Comfortline,    2019 Polo DSG Car Play Büyük Ekran Dijital Klima,2019,4400.0,                    Beyaz,138000.0,2019-12-19,                        MersinMezitli,Mersin
                        1.6 Sportline Classic,    aciilll satılık,1999,270000.0,                    Mavi,21000.0,2019-12-19,                        KonyaSelçuklu,Konya
                        1.0 TSI Comfortline,    AYBAR OTOMOTİV VOLKSWAGEN POLO 1.0 TSİ COMFORT,2018,28000.0,                    Bej,106500.0,2019-12-19,                        AntalyaMuratpaşa,Antalya
                        1.6 TDi Comfortline,    Uygun polo 2018,2018,20000.0,                    Beyaz,100000.0,2019-12-19,                        AntalyaKepez,Antalya
                        1.4 TDi Comfortline,    İLK SAHİBİNDEN BAKIMLI TEMİZ GERİ GÖRÜŞ KAMERALI DİZEL POLO,2016,39500.0,                    Gri,98700.0,2019-12-19,                        İstanbulBeylikdüzü,İstanbul
                        1.4 Highline,    memurdan masrafsız 2001 polo,2001,235000.0,                    Mavi,32000.0,2019-12-20,                        İstanbulSancaktepe,İstanbul
                        1.4 TDi Comfortline,    130 FAVORİ SON 3 GÜN!!!,2015,42000.0,                    Beyaz,91000.0,2019-12-20,                        İstanbulBeylikdüzü,İstanbul
                        1.4 TDi Comfortline,    2016 Volkswagen polo 1.4 TDİ DSG 42.000KM YETKİLİ SERVİS BAKIML,2016,42000.0,                    Beyaz,101900.0,2019-12-20,                        İstanbulEyüpsultan,İstanbul
                        1.6,    son 3 gün acil,1998,244000.0,                    Kırmızı,23300.0,2019-12-20,                        İstanbulAtaşehir,İstanbul
                        1.6 TDi Trendline,    VOSMER BORNOVA 2018 POLO 1.6TDI 80HP TRENDLINE MANUEL,2018,22612.0,                    Gri,109000.0,2019-12-20,                        İzmirBornova,İzmir
                        1.0 Trendline,    Volkswagen polo 1.0 siyah Trendline hasarsız,2018,37500.0,                    Siyah,91500.0,2019-12-20,                        İstanbulKartal,İstanbul
                        1.6 TDi Trendline,    Aykan Adana'dan VW Polo 1.6 TDI SCR Trendline,2018,26891.0,                    Beyaz,108000.0,2019-12-20,                        AdanaSeyhan,Adana
                        1.2 TSI Comfortline,    Serkan Otomotiv 2017 Model Volkswagen Polo 1.2 TSİ Comfortline,2017,17800.0,                    Mavi,97500.0,2019-12-20,                        MuğlaMilas,Muğla
                        1.4 TDi Comfortline,    2016 VW POLO 1.4 TDİ 90 BG BMT.COMFORTLİNE DSG 49.000 KM HATASIZ,2016,49000.0,                    Beyaz,107750.0,2019-12-20,                        İstanbulBağcılar,İstanbul
                        1.0 TSI Comfortline,    MD GLOBALDEN HATASIZ BOYASIZ 2019 ÇIKIŞLI SIFIR AYARINDA POLO,2018,8000.0,                    Gri,134000.0,2019-12-20,                        KırıkkaleYahşihan,Kırıkkale
                        1.6,    1.6 100 beygir sanruflu polo,1998,238000.0,                    Yeşil,21000.0,2019-12-20,                        İzmirKarabağlar,İzmir
                        1.0 TSI Highline ,    MARKA OTO DAN 2017 MODEL POLO 1.0 TSI HİGHLİNE OTOMATİK 38.000KM,2017,38000.0,                    Beyaz,117950.0,2019-12-20,                        İstanbulMaltepe,İstanbul
                        1.0 TSI Highline ,    AUTO KIRMIZI'DAN HATASIZ AKSESUARLI 2018 POLO HİGHLİNE CAM TVN,2018,20000.0,                    Mavi,141000.0,2019-12-20,                        İstanbulBağcılar,İstanbul
                        1.4 Comfortline,    2010 MODEL POLO TAM OTOMATİK ORJİNAL 45 BİN KMDE,2010,45000.0,                    Kırmızı,82000.0,2019-12-20,                        AnkaraAkyurt,Ankara
                        1.0 Trendline,    TALHA'DAN 2017 MODEL POLO 1.0 TRENDLINE SADECE 40.000 KM DE,2017,40000.0,                    Beyaz,71000.0,2019-12-20,                        MuğlaFethiye,Muğla
                        1.0 TSI Highline ,    2019 cam tavan hayalet ekran 7000 km sifir highline SON 1 gün,2019,7800.0,                    Mavi,158400.0,2019-12-20,                        AnkaraMamak,Ankara
                        1.6 TDi Trendline,    Car Center dan 2018 Polo 1.6 TDI Manuel,2018,43000.0,                    Beyaz,120000.0,2019-12-20,                        AksarayMerkez,Aksaray
                        1.2 TSI Comfortline,    CAM TAVAN OTOMATİK VİTES,2015,50000.0,                    Beyaz,106500.0,2019-12-20,                        İstanbulKadıköy,İstanbul
                        1.2 TSI Allstar,    SAHİBİNDEN 2016 VW POLO 1.2 OTOMATİK,2016,25699.0,                    Kırmızı,103900.0,2019-12-21,                        İstanbulAvcılar,İstanbul
                        1.2 TSI Comfortline,    BAYRAMOĞLUNDAN Hatasız dsg,2017,44000.0,                    Kırmızı,104000.0,2019-12-21,                        İstanbulBahçelievler,İstanbul
                        1.6 TDi Trendline,    AYKAN ISOTO'dan VW Polo 1.6 TDI SCR Trendline,2018,22200.0,                    Siyah,107500.0,2019-12-21,                        AdanaYüreğir,Adana
                        1.0 TSI Highline ,    2017 VOLKSWAGEN POLO 1.0 TSI HİGHLİNE DSG,2017,24000.0,                    Beyaz,124000.0,2019-12-21,                        TekirdağÇorlu,Tekirdağ
                        1.0 TSI Highline ,    İlk Sahibinden Kazasız Boyasız Değişensiz Yetkili Servis Bakımlı,2017,36500.0,                    Gümüş Gri,133900.0,2019-12-21,                        İstanbulEsenyurt,İstanbul
                        1.6 TDi Comfortline,    son 2 gün Orjinal Hatasız ilk günkü gibi sıfır kokusu icinde,2018,19750.0,                    Beyaz,143750.0,2019-12-21,                        HatayAntakya,Hatay
                        1.2 TSI Comfortline,    SAHİBİNDEN HATASIZ,2016,44000.0,                    Beyaz,110750.0,2019-12-21,                        SakaryaAdapazarı,Sakarya
                        1.4 TDi Comfortline,"    KAPLAN OTODAN BOYASIZ 1,4TDI POLO DSG",2017,36000.0,                    Beyaz,122500.0,2019-12-21,                        KütahyaMerkez,Kütahya
                        1.2 TSI Comfortline,    ARACIMIZ BOLU'YA HAYIRLI OLSUN,2016,29000.0,                    Beyaz,89750.0,2019-12-21,                        KütahyaMerkez,Kütahya
                        1.4 TDi Trendline,    askerden motor sorun yok şükür ama enjektör değişimi yapılacak,2008,370000.0,                    Gri,33000.0,2019-12-21,                        KocaeliDerince,Kocaeli
                        1.6 TDi Comfortline,    YENİ KASA HATASIZ POLO,2017,35000.0,                    Beyaz,115500.0,2019-12-21,                        İzmirKarşıyaka,İzmir
                        1.4 TDi Comfortline,    SAHİBİNDEN LANSMAN RENGİ CAM TAVAN 1.4 TDI COMFORTLİNE BMT DSG,2017,44653.0,                    Mavi,131500.0,2019-12-21,                        BoluMerkez,Bolu
                        1.6 Classic,    DEĞİŞEN BOYA HASAR YOK KLİMALI LPG İŞLİ 98 MODEL1.6CLASIC100luk,1997,200000.0,                    Mavi,28500.0,2019-12-21,                        AnkaraÇankaya,Ankara
                        1.6 Classic,    HATASIZ KAZASIZ DEĞIŞEN YOK HASAR KAYDI YOK BOYA YOK KLIMALI LPG,1997,200000.0,                    Mavi,29000.0,2019-12-22,                        AnkaraÇankaya,Ankara
                        1.6 Classic,    Aracım polo 1998 modeldir,1998,30000.0,                    Kırmızı,26500.0,2019-12-22,                        KayseriMelikgazi,Kayseri
                        1.4 TDi Comfortline,    3 GÜNLÜK !!!!ŞOK!!!! FIYAT PAZARLIKSIZ,2017,28000.0,                    Beyaz,80000.0,2019-12-22,                        İzmirÇiğli,İzmir
                        1.0 TSI Comfortline,    UĞUR OTMOTİVDEN HATASIZ BOYASIZ POLO,2017,33000.0,                    Beyaz,108000.0,2019-12-22,                        ErzurumYakutiye,Erzurum
                        1.4 TDi Comfortline,    HATASIZ BOYASIZ 2017 POLO KEYFI SATICI,2017,48000.0,                    Beyaz,115000.0,2019-12-22,                        SamsunBafra,Samsun
                        1.4 TDi Comfortline,    SAHİBİNDEN HATASIZ 2017 MODEL POLO 1.4 TDI COMFORTLINE,2017,30000.0,                    Füme,135900.0,2019-12-22,                        KonyaMeram,Konya
                        1.0 TSI Comfortline,    LAVİN AUTO 2018 1.0 TSİ DSG COMFORTLİNE 30.000 km HIZ SABİTLEYİC,2018,30000.0,                    Beyaz,127000.0,2019-12-22,                        DiyarbakırKayapınar,Diyarbakır
                        1.0 TSI Comfortline,    VW Yeni Polo - Resif Mavi - Acil Satılık,2018,27000.0,                    Mavi,119750.0,2019-12-22,                        BursaOsmangazi,Bursa
                        1.2 TSI Lounge,"    Golften donanımlı, sıfır hata Polo ile VW keyfi",2015,39500.0,                    Beyaz,106500.0,2019-12-22,                        DenizliPamukkale,Denizli
                        1.4 TDi Comfortline,    KISMET OTO PLAZA'DAN HATASIZ BOYASIZ TRAMERSİZ TDİ DSG 46100 KM,2017,46100.0,                    Beyaz,119500.0,2019-12-22,                        AntalyaSerik,Antalya
                        1.4 Basicline,    Değişensiz polo,2005,207000.0,                    Gri,38500.0,2019-12-22,                        DüzceCumayeri,Düzce
                        1.0 TSI Comfortline,    2018 Ocak Trafiğe Çıkışlı Boyasız Değişensiz Tramersiz,2017,35000.0,                    Beyaz,105000.0,2019-12-22,                        ElazığMerkez,Elazığ
                        1.0 Trendline,    Son 4 gün avantajlı fiyat ilk gelen alır...,2019,900000.0,                    Beyaz,104000.0,2019-12-22,                        KayseriMelikgazi,Kayseri
                        1.4 TDi Basicline,    Sahibinden polo,2004,231000.0,                    Beyaz,36000.0,2019-12-22,                        AntalyaKepez,Antalya
                        1.6 Classic,    Temiz polo ihtiyaçtan satılık,1997,277000.0,                    Kırmızı,21500.0,2019-12-22,                        BursaMustafakemalpaşa,Bursa
                        1.0 Trendline,    BANKACI BAYAN SAHİBİNDEN 30.000 KM TRAMERSİZ ORJİNAL POLO,2015,30000.0,                    Beyaz,73500.0,2019-12-22,                        İstanbulEsenyurt,İstanbul
                        1.6 TDi Trendline,    Opsiyonlandı antakya serkan hocam 2018 MODEL POLO HATASIZ,2017,47500.0,                    Beyaz,106999.0,2019-12-23,                        Hatayİskenderun,Hatay
                        1.4 TDi Comfortline,    Sahibinden Temiz Makyajlı kasa Polo Ona Kırmızı çok yakışıyor,2014,50000.0,                    Kırmızı,91500.0,2019-12-23,                        İstanbulSarıyer,İstanbul
                        1.6,    Temiz Polo Sahibinden,1998,230000.0,                    Lacivert,24400.0,2019-12-23,                        ErzurumYakutiye,Erzurum
                        1.4 TDi Bluemotion,    ikinci sahibinden masrafsız polo,2015,114000.0,                    Mavi,70000.0,2019-12-23,                        İstanbulBeykoz,İstanbul
                        1.2 TSI Comfortline,    Aracımız Murat Beye Opsiyonlanmıştır.,2017,49500.0,                    Beyaz,105000.0,2019-12-23,                        KahramanmaraşOnikişubat,Kahramanmaraş
                        1.4 TDi Comfortline,    ORJİNAL BOYASIZ 46 BİN KM DE VOLKSWAGEN POLO,2017,46000.0,                    Beyaz,102500.0,2019-12-23,                        AntalyaElmalı,Antalya
                        1.0 Trendline,    2017 çıkışlı HATASIZ BOYASIZ 30binde sıfır gibidir,2016,31000.0,                    Beyaz,76500.0,2019-12-23,                        SamsunBafra,Samsun
                        1.4 TDi Comfortline,    YAYINDAN KALKIYOR *SON 4 GÜN* 20.500 KM-2017 MODEL POLO,2017,20500.0,                    Beyaz,103000.0,2019-12-23,                        BalıkesirEdremit,Balıkesir
                        1.4 TDi Comfortline,    VW 2017 POLO $ON FİYATTIR -110BİN-₺,2017,44500.0,                    Beyaz,110000.0,2019-12-23,                        İstanbulKartal,İstanbul
                        1.2 TSI Comfortline,    22 OCAKTA İLANDAN KALKACAK,2015,28220.0,                    Beyaz,76750.0,2019-12-23,                        İstanbulÜmraniye,İstanbul
                        1.6 TDi Trendline,    AYKAN Kayeri'den 2018 VW POLO 1.6 TDI TRENDLİNE 80 HP,2018,25525.0,                    Beyaz,107500.0,2019-12-23,                        KayseriKocasinan,Kayseri
                        1.4 TDi Comfortline,    HATASIZ 1.4 TDİ CONFORT CAM TAVALI POLO İLK SAHİBİNDEN,2017,23000.0,                    Siyah,127500.0,2019-12-23,                        İstanbulSultanbeyli,İstanbul
                        1.6 TDi Trendline,    Aykan İstanbul'dan VW POLO 1.6 TDI SCR TRENDLİNE MAN 80 HP,2018,19434.0,                    Beyaz,106500.0,2019-12-23,                        İstanbulMaltepe,İstanbul
                        1.0 TSI Comfortline,    EİFFELi TAKİP EDİN YENİLERİ YOLDA opsiyonlu,2019,0.0,                    Beyaz,150000.0,2019-12-23,                        MersinYenişehir,Mersin
                        1.0 TSI Comfortline,    doktordan satılık otomotik polo,2018,21000.0,                    Gri,117000.0,2019-12-23,                        MalatyaYeşilyurt,Malatya
                        1.0 TSI Comfortline,"    138500'TL SON FİYAT, 22 OCAK'DA İLAN'DAN KALDIRACAĞIM",2019,1148.0,                    Beyaz,138500.0,2019-12-23,                        AnkaraKeçiören,Ankara
                        1.2 TSI Comfortline,    15.000 kmde CAM TAVAN KIRMIZI RENK İLK SAHİP BOYASIZ HATASIZ,2017,15000.0,                    Kırmızı,118500.0,2019-12-23,                        ZonguldakKozlu,Zonguldak
                        1.6 Classic,    HATASIZ BOYASIZ,2001,240000.0,                    Kırmızı,31500.0,2019-12-23,                        AnkaraSincan,Ankara
                        1.6 TDi Comfortline,    EİFFELi TAKİP EDİN YENİLERİ YOLDA opsiyonlu,2019,5000.0,                    Beyaz,160000.0,2019-12-24,                        MersinYenişehir,Mersin
                        1.4 Comfortline,    DÜŞÜK KİLOMETRE 2013 POLO,2013,45600.0,                    Beyaz,56000.0,2019-12-24,                        ŞanlıurfaHaliliye,Şanlıurfa
                        1.4 TDi Comfortline,    Volkswagen Polo 1.4 TDI BMT Comfortline HATASIZ-ORJİ­NAL-BOYASIZ,2014,36000.0,                    Beyaz,91750.0,2019-12-24,                        OsmaniyeMerkez,Osmaniye
                        1.4 Comfortline,    VADİ OTODAN VOLKSVAGEN POLO 1.4 COMFORTLİNE,2012,45000.0,                    Siyah,77000.0,2019-12-24,                        İstanbulSancaktepe,İstanbul
                        1.2 TDi Trendline,    volkswagen e binen bilir konfor ve sağlamlıgı,2013,150000.0,                    Beyaz,65000.0,2019-12-24,                        SakaryaAdapazarı,Sakarya
                        1.4 Comfortline,    SAAT GİBİ ARAÇ,2002,202000.0,                    Gümüş Gri,35500.0,2019-12-24,                        NevşehirAvanos,Nevşehir
                        1.6,    Satlik 98 polo,1998,301000.0,                    Kırmızı,19500.0,2019-12-24,                        AnkaraEtimesgut,Ankara
                        1.6 TDi Comfortline,    SIFIR AYARINDA APP CAR GENİŞ EKRAN,2019,5000.0,                    Beyaz,153000.0,2019-12-24,                        AnkaraÇankaya,Ankara
                        1.0 Trendline,    KIZILDAĞ OTOMOTİVDEN HATASIZ BOYASIZ POLO,2019,29000.0,                    Gümüş Gri,91500.0,2019-12-24,                        AfyonkarahisarMerkez,Afyonkarahisar
                        1.0 Trendline,    2017 MODEL 38.000 KMDE POLO 1.0 75HP TRENDLİNE,2017,38000.0,                    Beyaz,77500.0,2019-12-24,                        KonyaEreğli,Konya
                        1.6 TDi Comfortline,    2900 KM COMFORT+IŞIK PAKET DSG TDİ,2019,2950.0,                    Beyaz,149800.0,2019-12-24,                        HatayDörtyol,Hatay
                        1.2 TSI Lounge,    GÖRTAN GÜVENCESİYLE 2016 POLO LOUNGE 1.2 TSI OTM 18.000 DE,2016,18000.0,                    Bordo,107900.0,2019-12-24,                        KocaeliGebze,Kocaeli
                        1.0 TSI Comfortline,    MEMURDAN SIFIR AYARINDA,2019,6300.0,                    Mavi,142000.0,2019-12-24,                        BursaNilüfer,Bursa
                        1.4 Comfortline,    ORJİNALL 48.000 KM'DE..ALMAN­CI'DAN..TAM OTOMATİK.KLİ­MALI.KAYİTSZ,2001,48150.0,                    Beyaz,45900.0,2019-12-24,                        BalıkesirGönen,Balıkesir
                        1.4 TDi Comfortline,    SAHİBİNDEN 2015 POLO///HATASIZ//KA­ZASIZ//BOYAZSIZ//,2015,28500.0,                    Beyaz,105000.0,2019-12-24,                        BursaNilüfer,Bursa
                        1.0 TSI Comfortline,    ARAÇ SIFIRDIR HATA-BOYA YOK,2019,750000.0,                    Beyaz,141500.0,2019-12-24,                        AnkaraEtimesgut,Ankara
                        1.4 Comfortline,    SON BİR HAFTA - 2011 MODEL VW POLO 45000 KM,2011,45000.0,                    Kırmızı,73500.0,2019-12-24,                        KırklareliLüleburgaz,Kırklareli
                        1.0 TSI Comfortline,    SEL/FIRTINA AĞIR HASAR KAYITLI BOYASIZ DARBESİZ 1.0 TSİ DSG COMF,2018,6000.0,                    Beyaz,121000.0,2019-12-24,                        İstanbulKadıköy,İstanbul
                        1.6 TDi Comfortline,    1.01 ORAN 25.000TL PEŞİNLE DİZEL OTOMATİK 2018,2018,49000.0,                    Beyaz,139400.0,2019-12-24,                        İstanbulBağcılar,İstanbul
                        1.0 TSI Comfortline,    BAYANDAN OTOMATİK CAM TAVAN 2018 POLO,2018,28000.0,                    Kırmızı,135900.0,2019-12-24,                        AntalyaMuratpaşa,Antalya
                        1.0 TSI R-Line,    R-LİNE ÇİL ÇİL .TEMİZ,2018,15000.0,                    Beyaz,150000.0,2019-12-25,                        KocaeliDerince,Kocaeli
                        1.6 TDi Comfortline,    Cam Tavanlı Boyasız Hatasız Tramersiz Garantili,2018,23000.0,                    Beyaz,153000.0,2019-12-25,                        AnkaraÇankaya,Ankara
                        1.2 TSI Lounge,"    AYIŞIĞI HONDA'DAN 2016 VW POLO 1.2 TSI OTM LOUNGE ""14.500""KM'DE",2016,14500.0,                    Kırmızı,106500.0,2019-12-25,                        İstanbulÜsküdar,İstanbul
                        1.0 TSI Comfortline,    AutoLUX 2017 BOYASIZ VW POLO 1.0 TSİ / YENİ KASA/ OTOMATİK VİTES,2017,49000.0,                    Beyaz,119000.0,2019-12-25,                        AnkaraAkyurt,Ankara
                        1.6 Classic,"    EMSALSİZ TEMİZLİK DE 1999 1,6 100LÜK KLİMA AİRBAG YENİ MUAYENELİ",1999,18650.0,                    Kırmızı,24900.0,2019-12-25,                        AnkaraKeçiören,Ankara
                        1.0 Trendline,    HATASIZ FULL+FULL STAR STOP ÇELİK JANT FABRİKA GARANTİLİ,2018,20000.0,                    Beyaz,98500.0,2019-12-25,                        AnkaraÇankaya,Ankara
                        1.4 Comfortline,    SAHİBİNDEN TERTEMİZ HATASIZ POLO 18800 KM'DE,2013,18800.0,                    Mavi,79000.0,2019-12-25,                        İstanbulAtaşehir,İstanbul
                        1.0 TSI Comfortline,    ARACIMIZ SIFIR. ÇANKAYA DOĞUŞ OTO ÇIKIŞLI.,2019,780000.0,                    Beyaz,144250.0,2019-12-25,                        ÇankırıMerkez,Çankırı
                        1.2 TSI Lounge,"    OTOMATİK VİTES İHTİYACINDAN SATILIK,!!24bin kmdeBAŞKA LOUNG YOK.",2016,24000.0,                    Beyaz,105500.0,2019-12-25,                        AnkaraKeçiören,Ankara
                        1.0 TSI Comfortline,    2018_VW_POLO_24 .000KM_YETKİLİ SERVİS BAKIMLI_GARANTİLİ_,2018,25000.0,                    Kırmızı,123500.0,2019-12-25,                        İstanbulBağcılar,İstanbul
                        1.6 TDi Comfortline,    SAHİBİNDEN TEMİZ VE EKSTRALI POLO,2019,9000.0,                    Beyaz,157500.0,2019-12-25,                        OrduFatsa,Ordu
                        1.6 TDi Highline ,    VOLKSWAGEN POLO 1.6 TDI SCR 95 DSG HIGHLINE HATASIZ,2019,26520.0,                    Beyaz,161900.0,2019-12-25,                        AnkaraÇankaya,Ankara
                        1.2 TSI Comfortline,    KONCA AUTODAN POLO 1.2 TSI COMFORTLİNE,2017,49670.0,                    Beyaz,87750.0,2019-12-25,                        MersinYenişehir,Mersin
                        1.6,    wosvogen polo 1.6,1999,285000.0,                    Mavi,22750.0,2019-12-25,                        SakaryaFerizli,Sakarya
                        1.0 Trendline,    BOL EXTRALI POLO,2017,46500.0,                    Siyah,74000.0,2019-12-25,                        İstanbulBaşakşehir,İstanbul
                        1.2 TSI Comfortline,    Bakımlı km düşük polo,2015,50000.0,                    Füme,78000.0,2019-12-25,                        BursaNilüfer,Bursa
                        1.2 TSI Lounge,    İlk Sahibinden Temiz Polo,2015,33000.0,                    Siyah,108000.0,2019-12-25,                        İstanbulSarıyer,İstanbul
                        1.4 Trendline,    TEMİZ BAKIMLI,2009,43500.0,                    Beyaz,64500.0,2019-12-25,                        ÇanakkaleBiga,Çanakkale
                        1.2 TSI Allstar,    TÜRKİYE'DE TEK EMSALSİZ 21 BİN KM DE ALLSTAR POLO FULL+FUL,2016,21000.0,                    Beyaz,124500.0,2019-12-25,                        TokatZile,Tokat
                        1.4 Comfortline,    HATASIZ BOYASIZ DEGİSENSİZ GARAJ ARABASI SADECE 49 BINDE LPGLI,2012,49000.0,                    Beyaz,77900.0,2019-12-25,                        NevşehirMerkez,Nevşehir
                        1.0 TSI Comfortline,    BAYANDAN YETKİLİ SERVİS BAKIMLI POLO,2018,11000.0,                    Beyaz,130000.0,2019-12-25,                        NiğdeMerkez,Niğde
                        1.6 TDi Comfortline,    SAHİBİNDEN SIFIR 2019 VW YENİ POLO 1.6 Tdİ 95 HP COMFORTLİNE DSG,2019,1400.0,                    Beyaz,162000.0,2019-12-25,                        OsmaniyeBahçe,Osmaniye
                        1.0 Trendline,    BEYAZ OTOMOTİV 2018 VW POLO 1.0 TRENDLİNE EKRANLI METALİK RENK,2018,17000.0,                    Siyah,91750.0,2019-12-25,                        DenizliMerkezefendi,Denizli
                        1.4 TDi Comfortline,    Sahibinden,2016,40103.0,                    Beyaz,99000.0,2019-12-25,                        AdanaSeyhan,Adana
                        1.4 TDi Comfortline,    UBBA- 2017 VW POLO COMFORTLİNE 1.4 TDI DSG C.TAVAN+LED 18.000 KM,2017,18000.0,                    Mavi,134950.0,2019-12-26,                        İstanbulKağıthane,İstanbul
                        1.2 TSI Comfortline,    İlk gelen alır 1.2 tsı,2014,46000.0,                    Beyaz,78000.0,2019-12-26,                        SakaryaSerdivan,Sakarya
                        1.0 TSI Comfortline,    BOYASIZ 2018 DOĞUŞ ÇIKIŞLI 10KM PARLİAMENT MAVİ,2018,10000.0,                    Mavi,132500.0,2019-12-26,                        İstanbulEsenler,İstanbul
                        1.0 Trendline,    sahibinden kazasız boyasız 6000 tl extralı,2018,3400.0,                    Mavi,101750.0,2019-12-26,                        IspartaKeçiborlu,Isparta
                        1.4 TDi Comfortline,    MEMURDAN ORİJİNAL POLO 1.4 TDİ COMFORTLİNE,2016,36000.0,                    Beyaz,102000.0,2019-12-26,                        BursaOsmangazi,Bursa
                        1.4 TDi Comfortline,    ÖZGÜR CENGİZ'DEN 2017 MODEL VW POLO COMFORTLİNE DSG,2017,43000.0,                    Beyaz,94900.0,2019-12-26,                        BursaNilüfer,Bursa
                        1.0 TSI Comfortline,    2018/12 BİN KM/GARANTİLİ,2018,13000.0,                    Mavi,127000.0,2019-12-26,                        DiyarbakırKayapınar,Diyarbakır
                        1.6 TDi Comfortline,    (OPSİYONLAND­I)SAHİBİNDEN -HATASIZ-2018 ÇIKIŞLI-39.000 KM- POLO,2017,39000.0,                    Beyaz,116500.0,2019-12-26,                        Hatayİskenderun,Hatay
                        1.6 TDi Comfortline,    ERMER'DEN 2019 750 KM POLO 1.6TDİ DSG BÜYÜK EKRAN DİGİTAL KLİMA,2019,750000.0,                    Füme,156900.0,2019-12-26,                        İstanbulBağcılar,İstanbul
                        1.6 TDi Comfortline,    2018+2019 ÇIKIŞLI+ VOLKSWAGEN POLO+ 1.6 TDİ COMFORTLİNE,2018,1200.0,                    Beyaz,116000.0,2019-12-26,                        HataySamandağ,Hatay
                        1.0 Trendline,    TOLGA OTOMOTİV - İLGİNİZE TEŞEKKÜR EDERİZ,2017,30000.0,                    Beyaz,77500.0,2019-12-26,                        TekirdağÇorlu,Tekirdağ
                        1.4 TDi Comfortline,    2017 VOLSWAGEN POLO 1.4TDİ.COMFORTLİNE.­DSG.32000KM.HATASIZ,2017,32000.0,                    Beyaz,122500.0,2019-12-26,                        İstanbulBağcılar,İstanbul
                        1.6 TDi Comfortline,    ANTALYADA TEK 37BİNDE,2014,37000.0,                    Beyaz,95000.0,2019-12-26,                        AntalyaMuratpaşa,Antalya
                        1.0 Trendline,    SAHİBİNDEN 1400 KM SIFIR AYARINDA,2018,1400.0,                    Gri,103000.0,2019-12-26,                        İstanbulBeylikdüzü,İstanbul
