model,ad_title,year,km,color,price,ad_date,location,city
                        1.4 TDi Comfortline,    Sahibinden servis bakımlı,2014,86500.0,                    Siyah,97500.0,2019-12-23,                        AdanaÇukurova,Adana
                        1.4 Comfortline,    askeri personelden hasar kayıtsız boyasız 2011 polo,2011,100000.0,                    Siyah,69999.0,2019-12-23,                        BayburtDemirözü,Bayburt
                        1.4 TDi Comfortline,    YORULMAZ GALERİDEN DEĞİŞENSİZ SERVİS BAKIMLI OTOMATİK POLO,2016,101000.0,                    Beyaz,102500.0,2019-12-23,                        KonyaKaratay,Konya
                        1.4 TSI GTi,    SAHİBİNDEN - 2013 MODEL - CTH MOTOR - TRAMERSİZ GTI,2013,108000.0,                    Beyaz,87500.0,2019-12-23,                        İstanbulBakırköy,İstanbul
                        1.4 TDi Comfortline,    İLKELDEN YETKİLİ SERVİS BAKIMLI 2016 DİZEL OTOMATİK COMFORTLINE,2016,115000.0,                    Beyaz,91950.0,2019-12-23,                        İstanbulMaltepe,İstanbul
                        1.4 TDi Comfortline,    85BİN'DE İLKELDEN YETKİLİ SERVİS BAKIMLI COMFORTLINE DSG,2016,85000.0,                    Beyaz,93500.0,2019-12-23,                        İstanbulMaltepe,İstanbul
                        1.4 Comfortline,    2011 POLO 1.4 HATASIZ BOYASIZ ORJINAL KM 116BINDE,2011,116200.0,                    Beyaz,68900.0,2019-12-23,                        AdıyamanMerkez,Adıyaman
                        1.2 TDi Trendline,    2013 MODEL DİZEL POLO,2013,94500.0,                    Gümüş Gri,76500.0,2019-12-23,                        Vanİpekyolu,Van
                        1.4 Trendline,    Sahibinden 2006 VW POLO 1.4 TRENDLİNE 109 Binde,2006,109000.0,                    Sarı,43000.0,2019-12-23,                        OrduAltınordu,Ordu
                        1.4 TDi Comfortline,    KİLİÇ OTOMOTİV DEN VOLKSWAGEN POLO CONFORT HATASIZ OTOMATİK,2015,115000.0,                    Siyah,96500.0,2019-12-23,                        SamsunBafra,Samsun
                        1.4 TDi Comfortline,    2016 MODEL POLO 1.4 TDI BLUEMOTİON COMFORTLİNE BOYASIZ ORJİNAL,2016,117200.0,                    Gri,87500.0,2019-12-23,                        UşakEşme,Uşak
                        1.4 Primeline,    MEMURDAN HASAR KAYITSIZ DEĞİŞENSİZ TERTEMİZ POLO 101.000 km,2003,100000.0,                    Gümüş Gri,47000.0,2019-12-23,                        AnkaraEtimesgut,Ankara
                        1.2 TSI Comfortline,    WOLKSWAGEN POLO 1.2 TSİ OTOMATİK ORJİNAL DEĞİŞENSİZ TERTEMİZ,2014,88000.0,                    Mavi,91500.0,2019-12-23,                        ZonguldakMerkez,Zonguldak
                        1.4 Trendline,    Fiyat düştü favorilere özel,2006,104000.0,                    Kırmızı,53000.0,2019-12-23,                        MersinErdemli,Mersin
                        1.2 TSI Comfortline,    Sahibinden POLO 1.2 TSI BMT DSG,2014,93000.0,                    Beyaz,85750.0,2019-12-23,                        AnkaraÇankaya,Ankara
                        1.2 TDi Trendline,    UYSAL OTOMOTİV 1-2013+BOYASIZ­+DEĞİŞENSİZ+H­ATASIZ+116.000 KM,2013,116000.0,                    Beyaz,72000.0,2019-12-23,                        MuğlaFethiye,Muğla
                        1.4 TDi Bluemotion,    Sahibinden 1.4TDI Bluemotion Temiz ve Bakımlı POLO,2015,105000.0,                    Beyaz,79750.0,2019-12-23,                        İstanbulŞişli,İstanbul
                        1.6 TDi Comfortline,    SAHİBİNDEN WOLKSWAGEN 1.6 TDI POLO,2011,113000.0,                    Beyaz,70900.0,2019-12-24,                        İstanbulKadıköy,İstanbul
                        1.4 TSI GTi,    CFT TURKİYENİN EN HİZLİSİ // Bu setupa bedava,2013,93000.0,                    Siyah,109000.0,2019-12-24,                        İstanbulSarıyer,İstanbul
                        1.6 TDi Comfortline,    Temiz yazilimli bakımlı Polo !!!,2012,100000.0,                    Kırmızı,73250.0,2019-12-24,                        İstanbulBağcılar,İstanbul
